id,title,authors,date,topics,text,link,summary
124387,РОССИЙСКИЙ ГОСУДАРСТВЕННЫЙ АРХИВ КИНОФОТОДОКУМЕНТОВ (РГАКФД),Курги Хильда Александровна,28.11.2022,Культурология,"Российский государственный архив кинофотодокументов- это одно из самых крупнейших хранилищ видео- и фотоматериалов.
Первоначально Архив назывался ""Архив Октябрьской революции"". Датой его создания считается 12 октября 1926 год. Первое здание Архива находилось в Москве на Большой Дмитровке, 15. В 1953 году коллекция переехала в г. Красногорск, в котором находится и по настоящее время (Рис.1 ).
Рисуннок 1. Российский государственный архив кинофотодокументов
[1]
В 1992г Архив был переименован в Российский государственный архив кинофотодокументов (РГАКФД), а позднее Указом Президента РФ был включён в Государственный свод особо ценных объектов культурного наследия народов РФ. Целью создания Архива, в первую очередь, было сохранение наглядного материала политической, общественной и культурной жизни населения нашей страны, а также времен Советского Союза и Царской династии.
В коллекции Архива находятся как документальные видеоматериалы, так и научно –развлекательные и популярные видео, киножурналы за 95 лет с периода 1910 – по 2005 года. Общее количество единиц насчитывает порядка 255 213 кинодокументов, из них около 3000 были сняты в дореволюционное время, 1 221 234 единицы фотодокументов, в которые входят как снимки в альбомах из семейных фондов, так и государственных хранилищ, 25 570 видеофонограмм.
Одними из самых ранних видеодокументов являются материалы о коронации Николая II в 1896 году. К самым ранним фотодокументам относятся семейные фотоальбомы императора Александра II и фотоальбом «Севастополь в 1855-1856 гг.», созданный в конце 19 века, включающий фотографии флотилии и редкие снимки периода Крымской войны. Так же, на хранении в Архиве находятся редкие кадры городов в конце 19 – начале 20 веков, к примеру, альбом с фотографиями Москвы 1876 г. или Тифлиса 1856 г. Большое количество фотографий военного времени отражают не только годы Великой Отечественной Войны (более 90000 единиц), но также включают кадры Первой мировой, Русско-Японской войны, Гражданской войны и Октябрьской революции.
В архиве хранятся стеклянные негативы портретов актеров императорских театров 1897-1899 гг. В 2002 г. на хранение в Архив поступило 4 поясных мужских портрета начала 1850 гг. в виде дагерротипов, т.е. изображений, сохраненных на металлической пластине. Один из них можно увидеть на выставке «Россия. История в объективе.», представленной на сайте Архива (Рис.2). К сожалению, имена спонсоров чаще всего остаются неизвестны, но важность данного материала для истории цены не имеет.
Рисунок 2. Мужской портрет. Автор M.Abadie. Москва. 1850. Посеребренная металлическая пластина (в стеклянном паспарту). 7,5х6,2 (в свету, четырехугольник с округлыми углами), 12,5х10,8. РГАКФД.
[2]
В коллекции Архива находятся не только фото, но и видеоматериалы, в частности, художественные фильмы. Например, «Гараж» Эльдара Рязанова по праву занимает свое место в архиве. Помимо этого, на хранении находятся тысячи видеодокументов о встречах глав государств, о военных конфликтах (Чечня, Афганистан), зарубежные хроники, журналистские расследования и материалы из личных архивов известных людей, к примеру, режиссеров А.П. Довженко и С.А. Герасимова.
Для удобства каждый посетитель сайта может ознакомиться с изданием «Путеводитель по кинофотодокументам Российского государственного архива кинофотодокументов (РГАКФД) HYPERLINK ""http://www.rgakfd.ru/sites/default/files/putevoditel/index.html""» , в котором кратко описываются коллекции Архива, начиная с момента его создания.
На сайте Архива посетитель может посмотреть множество фото и видео выставок, к примеру, сейчас можно увидеть выставку «Приключения двух медвежат» (Рис.3) , посвященную работе режиссёра И.В.Вежер. В этом году одноимённому фильму исполняется 60 лет, он остаётся одним из самых востребованных среди посетителей всех возрастов. В коллекции архива находится порядка 250 кинодокументов режиссера.
Рисунок 3 Выставка под «Приключения двух медвежат».
[3]
Большой интерес пользователей представляет выставка, посвященная 150-летию со Дня рождения императора Николая II и 100-летию гибели царской семьи. В материалах представлено несколько десятков фото этого периода, а в основной коллекции Архива хранятся сотни материалов из жизни Царской династии (Рис.4).
Рисунок 4 Члены дома Романовых: императрица Александра Федоровна, император Николай II, великий князь Сергей Михайлович, герцог Георгий Лейхтенбергский, великая княгиня Мария Павловна.
Царское Село. Санкт-Петербургская губерния, Российская империя. Конец 1890-х. Фотограф не установлен. [4]
В основе популярной выставки «Футбол на все времена» использовался сборник фото об играх «Динамо», «Крыльев Совета», «Локомотива», «Спартака» во времена СССР (Рис.5). В целом архив насчитывает 27 000 фотодокументов и 8500 кинодокументов, посвященных спорту, из них к футбольной тематике относятся более 2000 фото и 700 кинодокументов. Собраны материалы о различных чемпионатах, Олимпийских играх, турнирах и любительских играх, все лучшие материалы из истории современного футбола и хроники для памяти потомков.
Рисунок 5 Президент МОК Э. Брэндедж вручает награды призерам XVI летних Олимпийских игр по футболу. На верхней ступени пьедестала почета – капитан олимпийской сборной СССР И.А. Нетто.
Мельбурн, Австралия. 8 декабря 1956 г.
Фотограф В. Егоров. [5]
Фотодокументы хранятся не только в виде напечатанных фотографий, но и на пленке, на слайдах, на стекле. Видео материалы на огромных бабинах занимают сотни квадратных метров архива и отражают десятилетия истории (Рис.6).
Рисунок 6 В хранилище РГАКФД
[6]
Множество документов находятся на ответственном хранении, с них пока не были сняты копии, поэтому публика не может их увидеть. По официальным данным, пока оцифровано не более 7% материалов от общего количества материала, хранящегося в Архиве.
В интервью изданию Realist.info директор Архива Наталия Калантарова рассказала от том, как тщательно сотрудники отбирают кадры из фото- и видеохроники для выставок: «Из тысячи они могут выбрать 115 снимков. Все остальное бракуется. Это дубли или кадры плохого качества. Выбирается самый лучший кадр. И все это вливается сразу в каталоги. У нас электронный каталог – это программа, которая охватывает все отделы, где должен побывать негатив. Параллельно с этим делается карточный каталог. Сейчас примерно 100 тысяч таких неразобранных материалов, с которыми работают. Это называется промежуточное хранилище» [6]
В 2020 году коллекция Архива пополнилась еще 5039 единицами, из них 3834 фотодокументы и 1205 видеодокументы. Весь материал архива представляет уникальную культурную ценность для нашей страны и мира в целом. Деятельность сотрудников Российского государственного архива кинофотодокументов по сохранению документов и передаче информации последующим поколениям бесценна. Оказываясь в архиве, посетители понимают, как много можно узнать благодаря коллекции архива.
Доступ посетителей в здание архива закрыт из целей безопасности, познакомиться с коллекцией документов можно во время специальных экскурсий. Все материалы доступны на сайте Архива, где любой желающий может запросить себе данные о событии или человеке, к примеру, Иосифе Сталине или Детском лагере «Артек».
Список литературы:
1.
История архива http://www.rgakfd.ru/istoriya-arhiva (дата обращения 28.11.2022)
2.
Россия. История в объективе http://www.rgakfd.ru/documents-collections/rossiya-istoriya-v-obektive?ysclid=lbkp4gy16z546546318 (дата обращения 28.11.2022)
3.
Виртуальная выставка «Приключения двух медвежат» http://www.rgakfd.ru/documents-collections/2019-vystavka-priklyucheniya-dvuh-medvezhat (дата обращения 28.11.2022)
4.
Виртуальная выставка «Последний император Российской империи». К 150-летию со дня рождения императора Николая II и 100-летию гибели царской семьи http://www.rgakfd.ru/documents-collections/2018-posledniy-imperator-rossiyskoy-imperii (дата обращения 28.11.2022)
5.
Виртуальная выставка «Футбол на все времена» http://www.rgakfd.ru/2018-virtualnaya-vystavka-futbol-na-vse-vremena (дата обращения 28.11.2022)
6.
Наталия Калантарова: «Если сейчас визуальные свидетельства истории не сохраним мы – утеряется всё». Информационное агенство realistfilm.info http://realistfilm.info/putevoditel-po-arhivam/nataliya-kalantarova-esli-sejchas-vizualnye-svidetelstva-istorii-ne-sohranim-my-uteryaetsya-vsyo.html (дата обращения 28.11.2022)",https://nauchforum.ru/studconf/science/201/124387,
120776,СМЫСЛЫ СОВРЕМЕННОЙ КИТАЙСКОЙ ЖИВОПИСИ,Пестунова Дарья Сергеевна,07.11.2022,Культурология,"Все в мире развивается, и живопись не является исключением. Она приобретает все новые формы. Современная китайская живопись получила больше свободы. Художники захотели переосмыслить прошлое и создать новую систему ценностей. В данной статье показываются новые идеалы и мысли китайских творцов, а также изменения, которые произошли в обществе, через картины.
Традиционная китайская живопись зародилась в древнем Китае и получила название Гохуа – «живопись нашей страны» [1]. Существует два стиля китайской живописи: гунби и сей.
Гунби («прилежная кисть») – это академический стиль, который характеризуется тончайшей проработкой деталей, изысканностью предметов. Изображаются в основном храмы, фигурные композиции и повествовательные сюжеты.
Сей (се-и) («грубая кисть») или «рисование мыслей» – это стиль, которому присуща лаконичность. Его цель – передать чувства и идеи художника.
Среди жанров китайской живописи выделяют следующие: «горы и воды», «цветы и птицы», анималистическая живопись, живопись фигур и портретная живопись [2].
ХХ век изменил Гохуа, живопись получила активное развитие. Если раньше были популярны бесстрастные лица, заданность поз и жестов, важно было показать статус, а не личность, то сейчас творчество получило свободу в произведениях современных китайских художников.
Один из самых известных живописцев современности – Чжан Сяоган. Его стиль уникален, а картины высоко ценятся. Тематикой его произведений являются политические и социальные реалии современного Китая. Своими картинами Чжан Сяоган реагирует на культурную революцию 1960-х – 1970-х годов. В картинах «Площадь Тянаньмэнь» художник показывает «Инцидент 4 июня», красным цветом как бы подчеркивая причину всех бед, а желтым показывает цвет императора. В тяжелый период жизни художника появляется серия картин «Призрак», в которых он отражает жизнь и смерть, образы конца света и смерти, боль человеческой души, которая разрывается между памятью и забвением [3].
Интересным также является творчество художника Юэ Минцзюнь. Он является представителем циничного реализма, принцип которого – «вывернуть наизнанку постулаты соцреализма и гиперболизировать обезличивание личности. Проще говоря, показать, как страшно, когда пытаются всех уравнять» [4]. Юэ Минцзюнь изображает мужчин с широкой улыбкой, которые выглядят скорее жутковато. Предположительно, так как в Китае действует принцип сохранения лица, то через смех и улыбку Юэ Минцзюнь находит «защиту». Это ложная радость, отражающая отчаяние. Его картины показывают как прошлое, так и настоящее. Показательно, что на всех работах изображен и сам художник [5].
Заслуживают внимания и работы художника Лю Вэя. Его картины выглядят как некое месиво, при этом можно отличить какие-то предметы. Это автор объясняет тем, что каждый предмет может иметь свою душу, хотя сделан из одного материала. Его картины передают нравственный упадок, с которым столкнулся или может столкнуться человек [6].
Работы художника Цзэн Фаньчжи также очень экспрессивны. Жизнь рядом с больницей и частое ее посещение сильно отразились на его творчестве. Чувство изоляции и отчужденности, когда ты не знаешь никого и никто не знает тебя, сказалось на произведениях. Так, основные темы его картин – это больницы, маски и мясо. Живопись имеет скорее не политический, а психологический характер, ее еще называют апокалиптической, а картины – темными портретами реальности [7]. Интересно, что он даже создал свою версию «Тайной вечери» как символ движения Китая к капитализму.
Художник Лю Е прославился своими персонажами, похожими на мультипликационных героев. Его картины красочны. Этот художник ставит европейские сюжеты в китайской действительности. Лю Е пишет маслом, хотя это не очень свойственно для китайской живописи. Он не так любит изображать политические картины, как эмоции и детские фантазии. Поскольку в Китае до недавнего времени существовала политика одного ребенка, то его творчество вызывает еще больший интерес. Он показывает мир взрослых через изображения детей [8].
Красочными работами выделяется также Фан Лицзюнь. Он, как и Юэ Минцзюнь, является представителем циничного реализма. В основном художник изображает молодых лысых мужчин, которые кричат, скучают, зевают, ненавидят, выглядят печальными. Лысые головы в Китае – признак глупости либо духовной силы. Фан Лицзюнь также рисует лысых детей. Своими картинами художник показывает обезличенную массу, которой можно управлять [9].
Традиционное искусство в современном Китае тоже не забыто. Художник Тянь Хайбо отдает дань уважения традициям, рисуя китайские пейзажи. Его работы выделяются рисованием рыб, особенно карпов кои, как символа процветания, богатства и счастья. Поэтому рисование водоемов с рыбами в Китае считается признаком высокой красоты и культуры [10].
Любопытно также творчество художника Ву Чжаомина, который рисует скорее на европейский манер. Ву Чжаомин любит рисовать с натуры, главным образом, женщин, он передает как их изящность, изысканность, так и одиночество. Но натуру он использует только в качестве отправной точки, остальное мастер дописывает так, как он видит и чувствует. Картинам свойственна воздушность и обобщенность, что характерно как раз для китайской живописи. Произведения обладают глубокой атмосферой, красотой форм, теней и разнообразием оттенков [11].
Передача традиционной живописи Гунби также изменилась. Сюй Лэй пишет картины традиционно тонкой кистью на шелке или рисовой бумаге. Его работы магические и эстетичные, они выглядят так, будто он сам рассказывает историю. «То, что увлекает мое внимание, это не технология рисования, а отношение между мышлением и аллегориями знаков» [12]. Художник смешивает современность и традиционность.
Как можно заметить, современная китайская живопись разнообразна. Она совершенствуется, но не забывает о традициях, уважает их. Никто не забывает прошлого. Китайские художники узнаваемы, признаны выдающимися, их картины ценятся, поскольку имеют глубокий смысл и ярко выражают чувства. Китайская живопись продолжает развиваться, заимствуя элементы художественных традиций других стран, но по-прежнему самобытна и незабываема.
Список литературы:
1.
Китайская живопись Гохуа. – Электронный ресурс. – URL: https://dveimperii.ru/articles/kitaiskaya-zhivopis-gohua (Дата обращения: 07.11.2022).
2.
Жанры китайской живописи. – Электронный ресурс. – URL: https://studwood.net/796563/kulturologiya/zhanry_kitayskoy_zhivopisi (Дата обращения: 07.11.2022).
3.
Творчество художника Чжана Сяогана в диалоге традиций западноевропейской и китайской живописи. – Электронный ресурс. – URL: https://cyberleninka.ru/article/n/tvorchestvo-hudozhnika-chzhan-syaogana-v-dialoge-traditsiy-zapadnoevropeyskoy-i-kitayskoy-zhivopisi/viewer (Дата обращения: 19.11.2022).
4.
Циничный реализм Фан Лицзюнь. – Электронный ресурс. – URL: https://artifex.ru/живопись/фан-лицзюнь/ (Дата обращения: 19.11.2022).
5.
10 китайских современных художников, которых нужно знать. – Электронный ресурс. – URL: https://megapoisk.com/sovremennyj-hudozhnik-kitajskaja-zhivopis-20-21-veka#yue-min-czyun (Дата обращения: 19.11.2022).
6.
Лю Вэй. – Электронный ресурс. – URL: http://contemporary-artists.ru/Liu_Wei.html (Дата обращения: 19.11.2022).
7.
Топ-7 китайские художники. – Электронный ресурс. – URL: https://artandyou.ru/history/sovremennaia_kitaiskaia_zhivopis_cinicheskyi_realizm/ (Дата обращения: 19.11.2022).
8.
5 лучших китайских современных художников. – Электронный ресурс. – URL: https://dzen.ru/media/artalebrio/5-luchshih-kitaiskih-sovremennyh-hudojnikov-62fe1aa1cb84332a6d6ac56e (Дата обращения: 19.11.2022).
9.
Современная китайская живопись. Фан Лицзюнь. – Электронный ресурс. – URL: http://sotvori-sebia-sam.ru/sovremennaya-kitajskaya-zhivopis/ (Дата обращения: 28.11.2022).
10.
Картины мира: художник Tian Haibo (Тянь Хайбо). – Электронный ресурс. – URL: https://dzen.ru/media/kartinymira/kartiny-mira-hudojnik-tian-haibo-tian-haibo-60f44bde9cbaf06f68949c54 (Дата обращения: 19.11.2022).
11.
Какие же они разные, эти китайцы! Живописец Жаоминг Ву. – Электронный ресурс. – URL: https://dzen.ru/media/id/ 60ec662b75ee2e0aab7727f0/kakie-je-oni-raznye-eti-kitaicy-jivopisec-jaoming-vu-62a9e767cbfb6327437d6c3b (Дата обращения: 19.11.2022).
12.
Ситуация современного искусства в Китае: традиция и постмодернизм. – Электронный ресурс. – URL: https://e-notabene.ru/fr/article_33621.html (Дата обращения: 19.11.2022).",https://nauchforum.ru/studconf/science/189/120776,"Современная китайская живопись отличается свободой выражения и переосмыслением традиционных ценностей. Художники экспериментируют со стилем и тематикой, развивая два основных направления — гунби (академическое, детализированное) и сей (лаконичный, передающий чувства). Традиционные жанры, такие как ""горы и воды"", ""цветы и птицы"" и портретная живопись, сохраняют актуальность, однако современные произведения раскрывают актуальные политические и социальные проблемы.

Яркие представители включают Чжан Сяогана, отображающего события культурной революции, Юэ Минцзюня, исследующего циничный реализм, и Лю Вэя, чьи работы передают нравственный кризис человека. Творчество Лю Е и Фан Лицзюня подчеркивает критическое восприятие общества и социальных норм. Несмотря на инновации, китайская живопись сохраняет уважение к традициям и демонстрирует богатую палитру смыслов и эмоций."
106079,Некоторые вопросы бытования и сохранения национальных игр бурят,Цыреторова Сэлмэга Гармажаповна,30.11.2024,Культурология,"Аннотация.
В данной статье рассматриваются вопросы, связанные с бытованием, сохранением и развитием традиционных национальных игр бурят. Автор на конкретных примерах описывает различные игры, традиционно бытующие у бурят. Автор дает конкретные рекомендации по сохранению и развитию рассмотренных игр.
Ключевые слова
: традиция, национальная игра, лодыжки, косточки, конные скачки, трудовое воспитание, нравственное воспитание, наблюдательность, внимательность и так далее.
Во времена глобализации обращение к вопросам традиционной культуры бурят весьма актуально, так как связано проблемой сохранения и развития многих ее знаковых видов и форм. Одно из этих направлений – традиционные игры бурят. Необходимо отметить, что многие национальные игры бурят связаны в основном с кочевым характером их быта и ведения скотоводческого хозяйства. Роль традиционных игр была весьма велика в процессе нравственно-духовного, трудового воспитания подрастающего поколения.
Необходимо отметить, что традиционно буряты весьма уважительно относились к своим детям. Они всегда считались с мнением ребенка. Детей рано приобщали к труду взрослых. В деле воспитания были активны три принципа – метод отвлечения внимания, уговаривания, убеждения. Игры, естественно, были призваны развивать в детях навыки и умения ловкости, находчивости, быстроты, сообразительности, наблюдательности и так далее. Они способствовали их умственному и физическому развитию.
Сбором и изучением традиционных бурятских игр в свое время занимались разные исследователи. Это Тугутов И.Е (1,2), Тумунов Ж. Т. (3), Шагдарон С.Д.(4) и многие другие. Ими собраны интересные материалы, в которых зафиксированы национальные игры, бытующие в общественной жизни разных этнических групп бурят. Нам же хотелось бы обратить внимание на игры, которые бытовали у тугнуйских бурят, территориально проживающих в настоящее время в Мухоршибирском районе (откуда родом автор данной статьи).
Одними из самых популярных игр являлись «Зургаан баабха хаяха» (игра с шестью бабками), «Баабха шэдэхэ» (подбрасывание бабок), «Хана шэдэхэ» (подбрасывание в стенку), «Мори урилдаалга» ( скачки коней), «Шариг тууха» (перегонять шарик), vхибvvдэй наадан»( детская игра) и многие другие. Так, например, в игре «Зургаан баабха хаяха» проводили черты на расстоянии 4-5 метров. Игровые косточки (коровьи) участники в один ряд ставили на руке и затем подбрасывали на это расстояние, чтобы они могли уйти за черту. Считались именно те бабки, которые упали на землю лицевой стороной. Чем больше костяшек упало лицевой стороной, тем большая победа доставалась игроку. Бабки, упавшие не доходя до черты, не считались. Были свои названия в этой игре: саг – бабки упали лицевой стороной в землю; бок - бабки упали вверх лицевой стороной или же набок; поп – бабки иногда падали плашмя, даже не взлетев.
Эта интересная игра увлекала детей, вызывая у них азарт, поднимала настроение, вызывала смех, веселье, вырабатывала ловкость рук, быстроту реакции, гибкость пальцев и так далее.
Весьма интересной была игра «мори урилдаалга» - конные скачки. Обычно ее участники сооружали «стену» из десяти костяшек-бабок. По обе стороны этого ряда ставили коней. Участники кидали лодыжки из трех косточек. Если у кого-то в тройке упадет конь, то следующий передвигает своего коня вперёд на одну косточку. Если падали три коня, то другой делает скачок через две бабки и обгоняет соперника. Победителем становится тот, кто первый доберется до конечной косточки стены. Эта игра призвана формировать у детей внимательность, сообразительность, наблюдательность, стремление к лидерству. Обращаем внимание еще на одну не менее интересную игру, которая сохранилась до позднего времени. Это игра называется «Алта нюуха» - прятать золотинку. По считалке выбирается ведущий, ему вручается «золотинка». Участники садятся в ряд, положив руки на колени, сомкнув их лодочкой. Ведущий незаметно передает «золотинку» кому-нибудь в ладони. Остальные участники должны внимательно наблюдать за соседями. Если кто-то заметил, что «золотинку» положили соседу, то он должен быть начеку. При слове ведущего «Золотинка, выходи!», тот, кто рядом сидит, должен поймать соседа за руку или за одежду и не давать ему возможности вставать со своего места. Иначе тот должен будет обязательно спеть или сплясать. Выступив перед публикой, он уже становится ведущей, а ведущий садится на его место.
Характерна еще одна детская игра «Yхибvvдэй наадан», о которой упомянуто выше. Дети бурят-скотоводов всегда выходили пасти скот и даже самостоятельно. Часы, естественно, отсутствовали, поэтому приходилось догадываться примерно о времени в такой игровой форме. Они рисовали на земле свою юрту, перенося в нее все, что имелось в юрте на местах. Сундуки, буфет, лежанки и т.д.
В середину рисунка втыкали палку. И по тому, куда падала тень от этой палки, определялось ими примерное время. Если тень падала на сундуки или же на буфет, или еще на что-то, то становилось ясно, сколько примерно времени.
Для детей взрослые придумывали различные натуральные игрушки. Из рога крупного рогатого скота для них делали фигуры коров, из крупных костей лошади – верблюд, из бараньей лодыжки – барана, из коровьей лодыжки – коня и др. Также из костяных бабок дети сами вырезали человечков. Из длинноватых по размеру бабок - взрослых людей, по размеру меньше – детишек.
Таким образом, можно сделать вывод о том, традиционные национальные игры бурят способствовали развитию познавательных интересов детей, осуществлению трудового, духовно-нравственного воспитания подрастающего поколения.
Думается, что к процессу сохранения и развития самобытных бурятских игр необходимо подходить творчески, видоизменяя форму и содержательную сторону этих игр, придавая им яркость, массовость, зрелищность, костюмированность, усиленно приобщая к знанию старинных бурятских песен, к знанию пословиц и поговорок, загадок, благопожеланий, целенаправленно пропагандируя их в детских садах, школах, колледжах, вуза, а также среди взрослого населения.
По-нашему мнению, должны вестись специальные теле- и радиопередачи под рубрикой «Традиционные народные игры бурят» на бурятском и русском языках.
Это касается не только бурятской национальности, но и других народностей, проживающих в Республике Бурятия. Также необходимо проводить разного рода конкурсы, фестивали знатоков национальных игр. В детских садах и школах могли бы проводиться уроки под названием «Традиционные игры народов» в числе многих других дисциплин. Вся эта работа будет способствовать сохранению и развитию традиционных национальных игр.
Список литературы:
1.
Тугутов И.Е. Бурятские народные игры. / Иосиф Еремеевич Тугутов. – Улан-Удэ: Бэлиг, 1994. – 49 с.
2.
Тугутов И.Е. Игры в общественной жизни бурят. / Иосиф Еремеевич Тугутов. –Улан-Удэ: Бурят.кн. изд-во, 1989. – 64 с.
3.
Тумунов Ж.Т. Этнопедагогика агинских бурят. /Жамсо Тумунович Тумунов. – Чита: Изд-во Заб.госуд.пед.ун-та. – 1997. 162 с.
4.
Шагдарон С.Д. Игры и увеселения агинских бурят / С.Д. Шагдарон, Б.Д. Очиров. – СПб: тип.В.Ф. Киршбаума(отд-ние), – 1909. 482 с.",https://nauchforum.ru/studconf/science/157/106079,"Статья рассматривает вопросы сохранения и развития традиционных бурятских национальных игр, связанных с кочевым укладом жизни и скотоводством. Эти игры играли важную роль в воспитании молодежи, развивая ловкость, внимательность, сообразительность и трудовые навыки. Приведены примеры популярных игр, таких как ""Зургаан баабха хаяха"", ""Мори урилдаалга"" (скачки) и ""Алта нюуха"". Исследователи собрали ценные материалы о традициях бурятских игр, предлагая использовать современные методы, такие как телевизионные передачи и конкурсы, для популяризации и сохранения национальной культуры."
